Sort_Order,Project,Sample_Owner,Panel,Specimen_Type,Specimen_Media,Ext_Lab,Ext_Operator,Ext_Method,Ext_Date,gDNA_Plate_ID,gDNA_Well_ID,Assay_Lab,Assay_Operator,Assay_Start_Date,Assay_Batch_Code,Assay_Plate_Code,Assay_Well_ID,Owner_Sample_ID,BC1,BC2
11,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,C2,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,C2,PCR-NTC,A51,P02
12,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,D2,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,D2,Sample_11,A52,P02
13,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,E2,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,E2,Sample_12,A53,P02
14,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,F2,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,F2,Sample_13,A54,P02
15,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,G2,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,G2,Sample_14,A55,P02
16,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,H2,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,H2,Sample_15,A56,P02
17,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,A3,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,A3,Sample_16,A49,P03
18,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,B3,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,B3,Sample_17,A50,P03
19,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,C3,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,C3,Sample_18,A51,P03
20,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,D3,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,D3,Sample_19,A52,P03
21,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,E3,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,E3,Sample_20,A53,P03
22,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,F3,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,F3,Sample_21,A54,P03
23,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,G3,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,G3,Sample_22,A55,P03
24,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,H3,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,H3,Sample_23,A56,P03
25,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,A4,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,A4,Sample_24,A49,P04
26,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,B4,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,B4,Sample_25,A50,P04
27,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,C4,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,C4,Sample_26,A51,P04
28,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,D4,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,D4,Sample_27,A52,P04
29,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,E4,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,E4,Sample_28,A53,P04
30,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,F4,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,F4,Sample_29,A54,P04
31,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,G4,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,G4,Sample_30,A55,P04
32,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,H4,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,H4,Sample_31,A56,P04
33,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,A5,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,A5,Sample_32,A49,P05
34,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,B5,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,B5,Sample_33,A50,P05
35,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,C5,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,C5,Sample_34,A51,P05
36,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,D5,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,D5,Sample_35,A52,P05
37,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,E5,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,E5,Sample_36,A53,P05
38,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,F5,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,F5,Sample_37,A54,P05
39,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,G5,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,G5,Sample_38,A55,P05
40,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,H5,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,H5,Sample_39,A56,P05
41,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,A6,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,A6,Sample_40,A49,P06
42,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,B6,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,B6,Sample_41,A50,P06
43,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,C6,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,C6,Sample_42,A51,P06
44,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,D6,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,D6,Sample_43,A52,P06
45,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,E6,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,E6,Sample_44,A53,P06
46,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,F6,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,F6,Sample_45,A54,P06
47,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,G6,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,G6,Sample_46,A55,P06
48,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,H6,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,H6,Ext-NTC,A56,P06
49,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,A7,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,A7,Sample_47,A49,P07
50,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,B7,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,B7,Sample_48,A50,P07
51,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,C7,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,C7,Sample_49,A51,P07
52,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,D7,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,D7,Sample_50,A52,P07
53,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,E7,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,E7,Sample_51,A53,P07
54,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,F7,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,F7,Sample_52,A54,P07
55,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,G7,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,G7,Sample_53,A55,P07
56,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,H7,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,H7,Sample_54,A56,P07
57,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,A8,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,A8,Sample_55,A49,P08
58,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,B8,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,B8,Sample_56,A50,P08
59,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,C8,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,C8,Sample_57,A51,P08
60,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,D8,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,D8,Sample_58,A52,P08
61,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,E8,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,E8,Sample_59,A53,P08
62,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,F8,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,F8,Sample_60,A54,P08
63,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,G8,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,G8,Sample_61,A55,P08
64,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,H8,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,H8,Sample_62,A56,P08
65,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,A9,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,A9,Sample_63,A49,P09
66,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,B9,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,B9,Sample_64,A50,P09
67,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,C9,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,C9,Sample_65,A51,P09
68,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,D9,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,D9,Sample_66,A52,P09
69,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,E9,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,E9,Sample_67,A53,P09
70,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,F9,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,F9,Sample_68,A54,P09
71,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,G9,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,G9,Sample_69,A55,P09
72,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,H9,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,H9,Sample_70,A56,P09
73,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,A10,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,A10,Sample_71,A49,P10
74,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,B10,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,B10,Sample_72,A50,P10
75,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,C10,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,C10,Sample_73,A51,P10
76,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,D10,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,D10,Sample_74,A52,P10
77,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,E10,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,E10,Sample_75,A53,P10
78,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,F10,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,F10,Siha-HeLa,A54,P10
79,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,G10,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,G10,Sample_76,A55,P10
80,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,H10,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,H10,Sample_77,A56,P10
81,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,A11,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,A11,Sample_78,A49,P11
82,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,B11,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,B11,Sample_79,A50,P11
83,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,C11,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,C11,Sample_80,A51,P11
84,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,D11,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,D11,Sample_81,A52,P11
85,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,E11,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,E11,Sample_82,A53,P11
86,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,F11,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,F11,Sample_83,A54,P11
87,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,G11,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,G11,Sample_84,A55,P11
88,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,H11,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,H11,Sample_85,A56,P11
89,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,A12,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,A12,Sample_86,A49,P12
90,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,B12,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,B12,Sample_87,A50,P12
91,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,C12,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,C12,Sample_88,A51,P12
92,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,D12,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,D12,Sample_89,A52,P12
93,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,E12,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,E12,Sample_90,A53,P12
94,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,F12,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,F12,Sample_91,A54,P12
95,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,G12,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,G12,Sample_92,A55,P12
96,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_1,H12,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_1,H12,Sample_93,A56,P12
97,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_2,A1,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_2,A1,Sample_94,A49,P13
98,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_2,B1,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_2,B1,Sample_95,A50,P13
99,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_2,C1,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_2,C1,Sample_96,A51,P13
100,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_2,D1,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_2,D1,Siha-HeLa,A52,P13
101,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_2,E1,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_2,E1,Sample_97,A53,P13
102,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_2,F1,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_2,F1,Sample_98,A54,P13
103,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_2,G1,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_2,G1,Sample_99,A55,P13
104,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_2,H1,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_2,H1,Sample_100,A56,P13
105,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_2,A2,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_2,A2,Sample_101,A49,P14
106,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_2,B2,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_2,B2,Sample_102,A50,P14
107,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_2,C2,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_2,C2,Sample_103,A51,P14
108,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_2,D2,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_2,D2,Sample_104,A52,P14
109,Example_Project,SarahWagner,All,Cervical_swab,STM,CGR,SarahWagner,Chemagen360,1/1/2018,Example_Plate_2,E2,CGR,SarahWagner,1/1/2018,Example_Batch_1,Example_Batch_1_Example_Plate_2,E2,Sample_105,A53,P14
